filename,date,cloud_coverage
LC08_L2SP_147038_20180705_02_T1.tif,2018-07-05 05:23:19.551533+00:00,74.57
LC08_L2SP_147038_20180619_02_T1.tif,2018-06-19 05:23:10.262362+00:00,29.83
LC08_L2SP_147038_20180603_02_T1.tif,2018-06-03 05:23:01.017722+00:00,11.68
LC08_L2SP_147038_20180518_02_T1.tif,2018-05-18 05:23:12.823115+00:00,83.68
LC08_L2SP_147038_20180502_02_T1.tif,2018-05-02 05:23:23.574114+00:00,27.72
LC08_L2SP_147038_20180416_02_T1.tif,2018-04-16 05:23:32.410134+00:00,79.93
LC08_L2SP_147038_20180331_02_T1.tif,2018-03-31 05:23:41.491959+00:00,2.56
LC08_L2SP_147038_20180315_02_T1.tif,2018-03-15 05:23:47.986812+00:00,78.52
LC08_L2SP_147038_20180227_02_T1.tif,2018-02-27 05:23:57.340943+00:00,37.56
LC08_L2SP_147038_20180211_02_T1.tif,2018-02-11 05:24:03.949361+00:00,80.49
LC08_L2SP_147038_20180126_02_T1.tif,2018-01-26 05:24:10.911574+00:00,9.12
LC08_L2SP_147038_20180110_02_T1.tif,2018-01-10 05:24:19.662063+00:00,17.06
LC08_L2SP_147038_20191231_02_T1.tif,2019-12-31 05:24:27.609517+00:00,55.73
LC08_L2SP_147038_20191215_02_T1.tif,2019-12-15 05:24:31.865333+00:00,37.87
LC08_L2SP_147038_20191129_02_T1.tif,2019-11-29 05:24:33.357880+00:00,46.83
LC08_L2SP_147038_20191113_02_T1.tif,2019-11-13 05:24:35.507201+00:00,92.61
LC08_L2SP_147038_20191028_02_T1.tif,2019-10-28 05:24:37.852852+00:00,4.07
LC08_L2SP_147038_20191012_02_T1.tif,2019-10-12 05:24:37.285159+00:00,7.33
LC08_L2SP_147038_20190926_02_T1.tif,2019-09-26 05:24:34.134541+00:00,49.31
LC08_L2SP_147038_20190910_02_T1.tif,2019-09-10 05:24:28.659505+00:00,7.58
LC08_L2SP_147038_20190825_02_T1.tif,2019-08-25 05:24:24.727298+00:00,73.94
